iter	RMSE
0	2.351176214
1	2.32202305
2	2.284871181
3	2.255025485
4	2.223883797
5	2.195459171
6	2.168793178
7	2.14534015
8	2.124914702
9	2.107229816
10	2.086557728
11	2.065752037
12	2.046092468
13	2.03101728
14	2.015716109
15	2.000223738
16	1.985466671
17	1.972542933
18	1.962121017
19	1.950184036
20	1.939165899
21	1.92777509
22	1.916452021
23	1.909480077
24	1.90083732
25	1.892792303
26	1.885615535
27	1.879427145
28	1.871205262
29	1.864223498
30	1.858005171
31	1.851613602
32	1.846313364
33	1.840900193
34	1.834920174
35	1.829620254
36	1.824172819
37	1.818914567
38	1.811957419
39	1.806838984
40	1.801971979
41	1.797290292
42	1.792173478
43	1.786683527
44	1.782768483
45	1.779180358
46	1.77440619
47	1.770526272
48	1.767665802
49	1.764517299
50	1.761826348
51	1.758994
52	1.755076471
53	1.751653787
54	1.747223784
55	1.742516271
56	1.739062234
57	1.735924491
58	1.732085275
59	1.729621817
60	1.726402524
61	1.723883667
62	1.721604406
63	1.719358555
64	1.716731617
65	1.713746883
66	1.711429374
67	1.708513438
68	1.705024001
69	1.701946503
70	1.698683799
71	1.695946521
72	1.693665615
73	1.691764534
74	1.689549989
75	1.686014295
76	1.68377541
77	1.682215732
78	1.679756427
79	1.676973149
80	1.674845099
81	1.673130351
82	1.669150662
83	1.667126249
84	1.664918965
85	1.662379435
86	1.660311252
87	1.659017261
88	1.656704408
89	1.654294442
90	1.652586752
91	1.650428098
92	1.649138326
93	1.646887475
94	1.645048883
95	1.643098425
96	1.641003568
97	1.638542197
98	1.636498749
99	1.634995947
100	1.6327977
101	1.630150197
102	1.628975156
103	1.627681785
104	1.62571329
105	1.623938467
106	1.622540961
107	1.620878048
108	1.619583092
109	1.618035019
110	1.616173188
111	1.613999893
112	1.612245062
113	1.610613621
114	1.607904581
115	1.606383985
116	1.605200696
117	1.603698214
118	1.60188368
119	1.600708009
120	1.597871289
121	1.596425131
122	1.595095679
123	1.593943465
124	1.590867961
125	1.589689542
126	1.587806995
127	1.586372279
128	1.584663675
129	1.582849762
130	1.581746087
131	1.58030646
132	1.578944182
133	1.577084529
134	1.575522246
135	1.573610251
136	1.572587352
137	1.570860874
138	1.56968458
139	1.568440375
140	1.566770392
141	1.565506661
142	1.564315293
143	1.563122222
144	1.561621481
145	1.560659904
146	1.559031598
147	1.557959498
148	1.556777336
149	1.555730502
150	1.554311323
151	1.553024874
152	1.551764533
153	1.550515087
154	1.548995912
155	1.547171858
156	1.545877464
157	1.544072006
158	1.542905864
159	1.540837795
160	1.53968363
161	1.538632633
162	1.537215298
163	1.535263023
164	1.534078187
165	1.532792361
166	1.531176484
167	1.53009845
168	1.528864745
169	1.527802378
170	1.524986603
171	1.523452506
172	1.522182467
173	1.519408625
174	1.518137447
175	1.516817938
176	1.515320877
177	1.514089077
178	1.512774863
179	1.511362092
180	1.510217152
181	1.50836492
182	1.5073035
183	1.505989258
184	1.504582667
185	1.503640034
186	1.502321722
187	1.501184333
188	1.49841777
189	1.496819835
190	1.495384123
191	1.4940679
192	1.492519728
193	1.491384191
194	1.489122748
195	1.487719821
196	1.486198821
197	1.48481439
198	1.483646243
199	1.482495624
200	1.481136435
201	1.479795166
202	1.478739312
203	1.477484402
204	1.475479875
205	1.474296871
206	1.472538068
207	1.471359687
208	1.469966111
209	1.468871538
210	1.467616692
211	1.466567536
212	1.465616524
213	1.464554336
214	1.463270197
215	1.461980214
216	1.460455494
217	1.458952697
218	1.45754999
219	1.455575495
220	1.454428415
221	1.453022023
222	1.452047041
223	1.451174369
224	1.4499844
225	1.448601062
226	1.447549067
227	1.446704986
228	1.445546992
229	1.444371087
230	1.443464491
231	1.442233124
232	1.441321474
233	1.440280873
234	1.439504934
235	1.438291996
236	1.437331806
237	1.436419269
238	1.435106715
239	1.434171959
240	1.433030561
241	1.432146598
242	1.431161634
243	1.429746954
244	1.42874328
245	1.427725837
246	1.426555627
247	1.425259492
248	1.424279201
249	1.422999701
250	1.422237058
251	1.421129492
252	1.420079557
253	1.419248865
254	1.417828791
255	1.416947568
256	1.416032288
257	1.414610422
258	1.413683374
259	1.412563663
260	1.411419436
261	1.41049349
262	1.409751108
263	1.408664405
264	1.407650293
265	1.40649618
266	1.405571435
267	1.404711469
268	1.403726988
269	1.402723123
270	1.401714743
271	1.400699141
272	1.399687335
273	1.39918139
274	1.398280522
275	1.397382364
276	1.396299084
277	1.395580431
278	1.394333994
279	1.393574858
280	1.39202652
281	1.391218828
282	1.390461406
283	1.389567231
284	1.388681855
285	1.38771325
286	1.38688315
287	1.385845285
288	1.384796557
289	1.383776732
290	1.382801076
291	1.381845535
292	1.380761892
293	1.379826432
294	1.379043671
295	1.378162629
296	1.37742769
297	1.376428662
298	1.37570542
299	1.374543635
300	1.373900938
301	1.37307626
302	1.372275742
303	1.371596867
304	1.370569049
305	1.369883933
306	1.369156909
307	1.36836323
308	1.367463925
309	1.366686483
310	1.365984525
311	1.365241847
312	1.364428014
313	1.363389412
314	1.362637601
315	1.36199715
316	1.361165832
317	1.360339279
318	1.359426934
319	1.358766104
320	1.357933247
321	1.357270701
322	1.356493983
323	1.355779074
324	1.355129329
325	1.354373071
326	1.353377923
327	1.352443455
328	1.351867168
329	1.350753101
330	1.349826205
331	1.348753111
332	1.348020663
333	1.347256715
334	1.346369961
335	1.34557055
336	1.344736004
337	1.344043093
338	1.343469802
339	1.342646069
340	1.342081866
341	1.341246894
342	1.340334457
343	1.339542789
344	1.338778909
345	1.338271215
346	1.337405305
347	1.33673411
348	1.335894395
349	1.335212192
350	1.334304313
351	1.333730423
352	1.332975817
353	1.332314499
354	1.331598543
355	1.330920631
356	1.330188014
357	1.329615465
358	1.329162207
359	1.328556252
360	1.327755349
361	1.327203461
362	1.32655514
363	1.32566505
364	1.324900842
365	1.324402969
366	1.323783608
367	1.323225357
368	1.322359165
369	1.321662208
370	1.32116862
371	1.320612462
372	1.319805314
373	1.319167924
374	1.318502942
375	1.318010265
376	1.317339771
377	1.31667739
378	1.316065111
379	1.315488914
380	1.314929235
381	1.313870311
382	1.313354516
383	1.312535522
384	1.312047724
385	1.311296742
386	1.310726374
387	1.310232301
388	1.309571672
389	1.308901572
390	1.308255328
391	1.307748313
392	1.307181266
393	1.306509674
394	1.305930198
395	1.305350005
396	1.30479754
397	1.30423941
398	1.303460704
399	1.302847721
400	1.30233825
401	1.301815388
402	1.300641411
403	1.299851676
404	1.299343205
405	1.298737986
406	1.298118688
407	1.29734486
408	1.296813313
409	1.296232149
410	1.295729443
411	1.29524097
412	1.294749452
413	1.294255554
414	1.29347559
415	1.292855132
416	1.292129762
417	1.291666811
418	1.291191462
419	1.290856582
420	1.290261992
421	1.289520407
422	1.289068916
423	1.288496465
424	1.28789385
425	1.287369549
426	1.2868795
427	1.286412057
428	1.285998017
429	1.284941543
430	1.284343433
431	1.283752319
432	1.283259476
433	1.282725425
434	1.282170302
435	1.281450521
436	1.280972073
437	1.280377611
438	1.279775073
439	1.279243727
440	1.278665751
441	1.278035639
442	1.277414475
443	1.276928761
444	1.276291574
445	1.275536677
446	1.27480193
447	1.274286896
448	1.273670762
449	1.273211308
450	1.272493775
451	1.272053043
452	1.271667956
453	1.27089328
454	1.270288986
455	1.269839691
456	1.269213732
457	1.26866907
458	1.268160716
459	1.267554321
460	1.26704532
461	1.266252544
462	1.265854463
463	1.265495855
464	1.264885872
465	1.264408448
466	1.263927864
467	1.263564436
468	1.262972422
469	1.26230205
470	1.261824774
471	1.261492373
472	1.261018543
473	1.260589717
474	1.260075475
475	1.259591736
476	1.258952695
477	1.258490529
478	1.257958261
479	1.257578389
480	1.256943408
481	1.256395728
482	1.255772223
483	1.25532064
484	1.254751042
485	1.254275539
486	1.253782793
487	1.253298992
488	1.25270968
489	1.252298393
490	1.251743395
491	1.251113806
492	1.25069143
493	1.250072724
494	1.249563366
495	1.249045311
496	1.248510379
497	1.248095411
498	1.247804182
499	1.247349488
500	1.246683996
501	1.246203898
502	1.245751265
503	1.245429201
504	1.244896263
505	1.244408939
506	1.243953607
507	1.243426494
508	1.24287683
509	1.242453062
510	1.241927618
511	1.241362728
512	1.240961466
513	1.240250053
514	1.23980197
515	1.239209458
516	1.238687035
517	1.238197212
518	1.23766267
519	1.237193559
520	1.236707908
521	1.236192728
522	1.235720361
523	1.235322607
524	1.234739244
525	1.234469566
526	1.234178929
527	1.232906431
528	1.232320535
529	1.231474677
530	1.231061901
531	1.230436152
532	1.230103984
533	1.229521336
534	1.229071226
535	1.228312355
536	1.227789518
537	1.227229477
538	1.226751274
539	1.226348108
540	1.22602324
541	1.225461307
542	1.225065143
543	1.2247093
544	1.224305023
545	1.223797004
546	1.223140191
547	1.222894129
548	1.222243927
549	1.221731492
550	1.221191991
551	1.220700186
552	1.220313242
553	1.21973591
554	1.219400292
555	1.218825436
556	1.218416535
557	1.217928583
558	1.217735538
559	1.217059103
560	1.216597507
561	1.216148061
562	1.21559592
563	1.215203024
564	1.214262681
565	1.213831281
566	1.213457939
567	1.213028166
568	1.212623742
