iter	Passed	Remaining
0	4	4751
1	9	4514
2	14	4701
3	18	4635
4	22	4501
5	26	4394
6	30	4380
7	35	4454
8	40	4472
9	44	4428
10	49	4413
11	53	4438
12	58	4409
13	62	4417
14	67	4419
15	71	4398
16	75	4365
17	80	4366
18	83	4330
19	88	4330
20	92	4330
21	97	4344
22	102	4353
23	107	4352
24	111	4348
25	115	4345
26	120	4336
27	126	4379
28	131	4395
29	135	4381
30	139	4371
31	144	4381
32	149	4367
33	152	4341
34	156	4327
35	161	4312
36	165	4308
37	170	4315
38	176	4343
39	182	4379
40	187	4382
41	192	4393
42	200	4472
43	206	4487
44	212	4507
45	218	4536
46	224	4543
47	229	4552
48	236	4588
49	241	4584
50	247	4605
51	254	4631
52	258	4617
53	272	4778
54	289	4981
55	297	5013
56	309	5118
57	316	5132
58	321	5124
59	339	5314
60	344	5304
61	353	5355
62	359	5342
63	368	5394
64	374	5387
65	380	5383
66	387	5401
67	392	5377
68	397	5363
69	402	5349
70	419	5482
71	432	5576
72	439	5578
73	443	5553
74	449	5545
75	460	5601
76	474	5682
77	481	5690
78	487	5680
79	507	5831
80	511	5804
81	517	5796
82	529	5852
83	540	5895
84	557	6006
85	562	5980
86	569	5979
87	575	5967
88	581	5949
89	593	6004
90	599	5983
91	603	5959
92	609	5940
93	618	5960
94	623	5937
95	636	5989
96	641	5967
97	645	5944
98	650	5916
99	655	5895
100	659	5869
101	663	5845
102	668	5821
103	672	5796
104	677	5775
105	681	5747
106	685	5721
107	688	5690
108	692	5660
109	696	5633
110	699	5605
111	704	5587
112	708	5563
113	712	5534
114	715	5509
115	719	5483
116	724	5464
117	728	5444
118	732	5421
119	736	5401
120	740	5377
121	744	5355
122	748	5333
123	752	5313
124	756	5298
125	762	5285
126	766	5268
127	771	5256
128	775	5236
129	779	5217
130	783	5199
131	787	5177
132	791	5158
133	795	5140
134	799	5123
135	805	5120
136	812	5115
137	817	5104
138	821	5091
139	826	5078
140	831	5063
141	836	5053
142	841	5043
143	848	5042
144	853	5030
145	858	5019
146	862	5006
147	867	4991
148	871	4976
149	875	4962
150	880	4951
151	885	4938
152	889	4925
153	893	4909
154	899	4903
155	903	4886
156	906	4869
157	910	4852
158	914	4835
159	917	4818
160	921	4803
161	926	4791
162	930	4778
163	935	4768
164	939	4756
165	944	4743
166	948	4733
167	953	4719
168	957	4708
169	962	4699
170	967	4692
171	972	4680
172	976	4667
173	981	4657
174	985	4646
175	990	4636
176	997	4640
177	1004	4639
178	1010	4633
179	1015	4628
180	1020	4618
181	1025	4606
182	1030	4599
183	1035	4593
184	1041	4588
185	1046	4581
186	1051	4571
187	1055	4560
188	1060	4551
189	1066	4547
190	1071	4538
191	1077	4534
192	1084	4532
193	1089	4526
194	1094	4517
195	1099	4510
196	1105	4506
197	1111	4500
198	1117	4496
199	1122	4489
200	1127	4480
201	1132	4472
202	1137	4464
203	1142	4456
204	1146	4446
205	1151	4439
206	1156	4431
207	1161	4422
208	1166	4414
209	1170	4404
210	1175	4395
211	1179	4383
212	1183	4371
213	1188	4363
214	1192	4353
215	1196	4342
216	1200	4333
217	1206	4329
218	1212	4322
219	1220	4326
220	1225	4320
221	1231	4314
222	1236	4309
223	1242	4304
224	1247	4297
225	1252	4289
226	1261	4295
227	1268	4293
228	1273	4288
229	1278	4281
230	1283	4271
231	1288	4265
232	1294	4259
233	1299	4253
234	1304	4246
235	1309	4240
236	1315	4235
237	1320	4226
238	1325	4219
239	1329	4210
240	1335	4204
241	1340	4197
242	1344	4189
243	1349	4179
244	1353	4170
245	1357	4161
246	1362	4155
247	1367	4147
248	1372	4140
249	1378	4134
250	1383	4129
251	1389	4123
252	1394	4118
253	1400	4112
254	1405	4105
255	1409	4097
256	1415	4091
257	1419	4083
258	1425	4078
259	1431	4073
260	1436	4068
261	1441	4060
262	1446	4052
